class,nm_mun,descricao,area_km2,id
41.0,Torres,Outras Lavouras Temporárias,5.1076,226
41.0,Tramandaí,Outras Lavouras Temporárias,6.4573,227
41.0,Três Cachoeiras,Outras Lavouras Temporárias,2.5247,228
41.0,Três Forquilhas,Outras Lavouras Temporárias,2.428,229
41.0,Xangri-lá,Outras Lavouras Temporárias,1.5821,230
25.0,Arroio do Sal,Outras Áreas não Vegetadas,2.5541,231
25.0,Balneário Pinhal,Outras Áreas não Vegetadas,3.4636,232
25.0,Capão da Canoa,Outras Áreas não Vegetadas,3.2268,233
25.0,Capivari do Sul,Outras Áreas não Vegetadas,0.1879,234
25.0,Cidreira,Outras Áreas não Vegetadas,11.4427,235
25.0,Imbé,Outras Áreas não Vegetadas,0.9382,236
25.0,Maquiné,Outras Áreas não Vegetadas,0.2375,237
25.0,Osório,Outras Áreas não Vegetadas,7.1067,238
25.0,Palmares do Sul,Outras Áreas não Vegetadas,18.8,239
25.0,Terra de Areia,Outras Áreas não Vegetadas,0.2279,240
25.0,Torres,Outras Áreas não Vegetadas,1.2117,241
25.0,Tramandaí,Outras Áreas não Vegetadas,5.2846,242
25.0,Três Cachoeiras,Outras Áreas não Vegetadas,0.0062,243
25.0,Xangri-lá,Outras Áreas não Vegetadas,0.4554,244
39.0,,Soja,0.0354,245
9.0,,Silvicultura,0.0366,246
40.0,,Arroz,0.0066,247
23.0,,"Praia, Duna e Areal",0.0107,248
49.0,,Restinga Arbórea,0.0366,249
11.0,,Campo Alagado e Área Pantanosa,0.0766,250
33.0,,"Rio, Lago e Oceano",0.8882,251
3.0,,Formação Florestal,0.9138,252
12.0,,Formação Campestre,0.1062,253
50.0,,Restinga Herbácea,0.0113,254
15.0,,Pastagem,0.0296,255
21.0,,Mosaico de Usos,0.12,256
41.0,,Outras Lavouras Temporárias,0.0728,257
25.0,,Outras Áreas não Vegetadas,0.0047,258
,Arroio do Sal,,6.4134,259
,Balneário Pinhal,,0.0264,260
,Capão da Canoa,,22.2212,261
,Capivari do Sul,,0.1979,262
,Caraá,,1.5883,263
,Cidreira,,0.0535,264
,Imbé,,0.0353,265
,Itati,,2.831,266
,Mampituba,,0.1511,267
,Maquiné,,3.4054,268
,Osório,,0.5529,269
,Palmares do Sul,,0.515,270
,Terra de Areia,,24.1256,271
,Torres,,0.2075,272
,Tramandaí,,0.0476,273
,Três Cachoeiras,,0.9888,274
,Três Forquilhas,,2.7652,275
,Xangri-lá,,6.5127,276
